1.txt, size: 478
2.txt, size: 384
3.txt, size: 398
4.txt, size: 92
5.txt, size: 339
6.txt, size: 173
7.txt, size: 180
8.txt, size: 572
9.txt, size: 14
10.txt, size: 240
11.txt, size: 459
12.txt, size: 551
13.txt, size: 274
14.txt, size: 400
15.txt, size: 375
16.txt, size: 67
17.txt, size: 512
18.txt, size: 240
19.txt, size: 163
20.txt, size: 388
21.txt, size: 522
22.txt, size: 250
23.txt, size: 73
24.txt, size: 289
25.txt, size: 240
26.txt, size: 511
27.txt, size: 470
28.txt, size: 230
29.txt, size: 291
30.txt, size: 51
31.txt, size: 355
32.txt, size: 224
33.txt, size: 228
34.txt, size: 56
35.txt, size: 147
36.txt, size: 473
37.txt, size: 90
38.txt, size: 330
39.txt, size: 382
40.txt, size: 352
41.txt, size: 468
42.txt, size: 484
43.txt, size: 533
44.txt, size: 550
45.txt, size: 476
46.txt, size: 427
47.txt, size: 146
48.txt, size: 503
49.txt, size: 179
50.txt, size: 573
51.txt, size: 322
52.txt, size: 241
53.txt, size: 166
54.txt, size: 536
55.txt, size: 290
56.txt, size: 335
57.txt, size: 96
58.txt, size: 23
59.txt, size: 158
60.txt, size: 71
61.txt, size: 139
62.txt, size: 355
63.txt, size: 27
64.txt, size: 483
65.txt, size: 110
66.txt, size: 21
67.txt, size: 375
68.txt, size: 304
69.txt, size: 472
70.txt, size: 152
71.txt, size: 526
72.txt, size: 295
73.txt, size: 278
74.txt, size: 345
75.txt, size: 440
76.txt, size: 155
77.txt, size: 174
78.txt, size: 231
79.txt, size: 440
80.txt, size: 569
81.txt, size: 481
82.txt, size: 549
83.txt, size: 433
84.txt, size: 141
85.txt, size: 149
86.txt, size: 409
87.txt, size: 53
88.txt, size: 6
89.txt, size: 427
90.txt, size: 390
91.txt, size: 297
92.txt, size: 254
93.txt, size: 565
94.txt, size: 410
95.txt, size: 370
96.txt, size: 320
97.txt, size: 459
98.txt, size: 394
99.txt, size: 351
100.txt, size: 406
